FISH,FINALWEIGHT,FINALVALUE
Amberjacks,"107,328","$38,487 "
Anglerfish (Monkfish Including Monklivers),"36,656","$25,270 "
"Blue Crabs, Hard","40,507,415","$12,836,836 "
"Blue Crabs, Soft and Peeler","560,959","$996,904 "
Bluefish,"2,839,057","$550,619 "
Bonito,"11,658","$2,840 "
Butterfish,"386,445","$149,331 "
Carp,"146,019","$14,320 "
Catfishes,"1,466,594","$283,419 "
"Clams, Hard (Meats)","722,235","$3,853,005 "
Cobia,"18,534","$21,612 "
"Croaker,Atlantic","2,796,612","$1,010,646 "
"Cutlassfish,Atlantic","12,504","$1,833 "
Dolphinfish,"72,119","$89,179 "
"Drum, Black","6,290",$975 
"Drum, Red","128,497","$86,859 "
"Eel, American","17,739","$32,388 "
"Flounder, Southern","3,145,020","$4,026,402 "
"Flounder, Summer","2,613,003","$3,505,193 "
"Flounders, Other","1,915",$964 
Garfish,"20,169","$3,871 "
"Grouper, Gag","169,537","$352,284 "
"Grouper, Red","44,010","$69,133 "
"Grouper, Scamp","74,335","$149,068 "
"Grouper, Snowy","304,021","$476,294 "
"Groupers, Other","170,006","$318,801 "
Grunts,"159,372","$79,242 "
Hakes,851,$195 
Harvestfish (Starbutters),"119,408","$63,770 "
"Herring, River (Alewife and Blueback)","1,723,178","$172,453 "
Hogfish (Hog Snapper),"24,186","$29,528 "
"Jacks (Crevalle, Rainbowrunner, Bluerunner)","22,405","$3,188 "
"Mackerel, Atlantic (Boston)","169,702","$15,829 "
"Mackerel, King","1,034,694","$1,552,953 "
"Mackerel, Spanish","738,362","$302,887 "
"Menhaden,Atlantic","57,515,712","$1,744,030 "
"Mullet, Sea (Kingfishes)","851,708","$464,525 "
"Mullet, Striped","1,820,494","$1,171,094 "
Octopus,"22,871","$22,843 "
Oysters (Meats),"293,956","$1,172,397 "
"Perch, White","165,141","$156,533 "
"Perch, Yellow","28,929","$20,029 "
Pigfish,"136,711","$19,573 "
Pinfish,"1,565",$856 
Pompano,"11,177","$14,216 "
Porgies,"340,870","$287,939 "
Pufferfish,"27,726","$8,722 "
"Scallop,Bay (Meats)","21,721","$54,124 "
"Scallop,Sea (Meats)","404,632","$1,806,066 "
Scup,"174,397","$54,005 "
Sea Basses,"792,875","$1,053,519 "
"Seatrout, Spotted","526,271","$563,136 "
"Shad, American","239,162","$194,629 "
"Shad, Gizzard","11,795",$700 
"Shad, Hickory","18,603","$4,919 "
Sharks,"9,907,136","$963,912 "
Sheepshead,"47,526","$10,402 "
Shrimp (Heads On),"5,495,811","$10,859,113 "
Skates,"5,740",$745 
Skippers,"24,762","$2,995 "
"Snapper, Red","10,210","$27,054 "
"Snapper, Vermilion (Beeliner)","305,751","$697,728 "
"Snappers, Other","19,206","$34,485 "
Spadefish,"19,288","$3,232 "
Spot,"2,826,138","$642,491 "
Squid,"237,615","$43,614 "
Striped Bass,"161,009","$204,434 "
Swordfish,"60,810","$238,273 "
"Tilefish, Blueline","141,272","$104,244 "
"Tilefish, Other","219,468","$337,663 "
Triggerfish,"135,190","$94,100 "
"Tuna, Bigeye","72,132","$502,354 "
"Tuna, Yellowfin","274,196","$428,179 "
"Tunas, Other","11,572","$16,300 "
"Tunny, Little (False Albacore)","174,481","$9,514 "
Unclassified Fish For Industrial/Bait,"5,385,368","$198,208 "
Unclassified Fish for Food,"168,404","$147,345 "
Unclassified Shellfish,"13,713","$4,090 "
Wahoo,"14,383","$23,954 "
Weakfish (Grey Trout),"4,862,551","$2,483,359 "
Whelks/Conchs (Meats),"58,938","$16,423 "
