FISH,FINALWEIGHT,FINALVALUE
Amberjacks,"120,644","$69,982 "
Anglerfish (Monkfish Including Monklivers),"278,608","$232,940 "
"Blue Crabs, Hard","36,461,890","$29,349,251 "
"Blue Crabs, Peeler","718,897","$1,465,913 "
"Blue Crabs, Soft","555,532","$2,333,268 "
Bluefish,"2,323,964","$776,570 "
Bonito,"15,456","$11,741 "
Butterfish,"143,526","$64,906 "
Carp,"41,006","$2,253 "
Catfishes,"367,665","$95,257 "
"Clams, Hard (Meats)","619,721","$3,505,642 "
"Clams, Hard (Numbers)","29,323,338",.
Cobia,"21,058","$24,735 "
"Croaker,Atlantic","10,189,153","$3,233,402 "
"Cutlassfish,Atlantic","4,500","$8,841 "
"Dogfish, Smooth","341,672","$101,353 "
"Dogfish, Spiny",<100,<$100
Dolphinfish,"168,429","$243,510 "
"Drum, Black","497,479","$110,582 "
"Drum, Red","81,370","$89,199 "
"Eel, American","59,940","$83,517 "
"Flounder, Southern","3,436,751","$5,165,014 "
"Flounder, Summer","4,129,121","$6,106,079 "
"Flounders, Other","1,500",$600 
Garfish,"13,151",$254 
"Grouper, Gag","241,681","$621,769 "
"Grouper, Red","222,823","$453,634 "
"Grouper, Scamp","104,276","$253,494 "
"Grouper, Snowy","110,595","$214,649 "
"Groupers, Other","20,239","$41,079 "
Grunts,"102,158","$74,162 "
Hakes,668,$239 
Harvestfish (Starbutters),"70,008","$46,804 "
"Herring, River (Alewife and Blueback)","174,830","$65,712 "
Hogfish (Hog Snapper),"10,637","$20,309 "
"Jacks (Crevalle, Rainbowrunner, Bluerunner)","11,653","$3,578 "
"Mackerel, Atlantic (Boston)","2,697","$1,213 "
"Mackerel, King","778,427","$1,177,216 "
"Mackerel, Spanish","698,448","$617,860 "
"Menhaden,Atlantic","69,190,596","$5,045,407 "
"Mullet, Sea (Kingfishes)","619,748","$603,865 "
"Mullet, Striped","2,596,304","$1,251,676 "
Octopus,"18,738","$22,152 "
Oysters (Bushels),"46,082",.
Oysters (Meats),"243,775","$991,004 "
"Perch, White","280,860","$161,260 "
"Perch, Yellow","78,828","$76,482 "
Pigfish,"33,119","$7,880 "
Pinfish,"22,095","$4,419 "
Pompano,"27,597","$29,007 "
Porgies,"87,959","$73,970 "
Pufferfish,"4,867","$2,203 "
"Scallop,Bay (Meats)","19,219","$68,365 "
"Scallop,Sea (Meats)","390,472","$1,221,112 "
Scup,"<50,000","<$10,000"
Sea Basses,"592,249","$878,236 "
"Seatrout, Spotted","175,555","$213,668 "
"Shad, American","274,657","$174,142 "
"Shad, Gizzard","227,459","$9,298 "
"Shad, Hickory","51,158","$8,286 "
Sharks,"1,707,186","$869,823 "
Sheepshead,"57,434","$20,865 "
Shrimp (Heads On),"9,969,018","$18,364,764 "
Skates,501,$288 
Skippers,"34,855","$6,971 "
"Snapper, Red","22,886","$63,253 "
"Snapper, Vermilion (Beeliner)","465,585","$1,119,553 "
"Snappers, Other","2,120","$4,193 "
Spadefish,"38,400","$7,757 "
Spot,"2,184,032","$931,528 "
Squid,"175,735","$103,639 "
Stone Crabs,"3,989","$9,325 "
Striped Bass,"701,459","$855,457 "
Swordfish,"480,948","$935,892 "
"Tilefish, Blueline","214,954","$212,778 "
"Tilefish, Other","5,377","$8,484 "
Triggerfish,"90,934","$84,599 "
"Tuna, Bigeye","118,262","$224,527 "
"Tuna, Bluefin","189,830","$1,138,466 "
"Tuna, Yellowfin","603,580","$767,357 "
"Tunas, Other","10,494","$11,766 "
"Tunny, Little (False Albacore)","77,798","$15,685 "
Unclassified Fish For Industrial/Bait,"5,838,710","$466,756 "
Unclassified Fish for Food,"86,881","$110,308 "
Unclassified Shellfish,"47,174","$36,922 "
Wahoo,"19,952","$38,298 "
Weakfish (Grey Trout),"1,828,150","$1,051,137 "
Whelks/Conchs (Meats),"12,377","$9,368 "
,,
