FISH,FINALWEIGHT,FINALVALUE
Amberjacks,"229,788","$288,028 "
Anglerfish (Monkfish Including Monklivers),"24,772","$15,114 "
"Blue Crabs, Hard","12,052,143","$20,553,886 "
"Blue Crabs, Peeler","531,179","$1,644,073 "
"Blue Crabs, Soft","236,523","$1,753,352 "
Bluefish,"1,051,019","$643,944 "
Bonito,"7,351","$16,620 "
Butterfish,"38,319","$16,076 "
Carp,"9,737","$2,568 "
Catfishes,"1,985,590","$557,913 "
"Clams, Hard (Meats)","81,275","$905,422 "
"Clams, Hard (Numbers)","4,307,356",.
Cobia,"29,301","$79,145 "
"Croaker,Atlantic","540,619","$595,623 "
"Cutlassfish,Atlantic","1,151,706","$1,929,317 "
"Dogfish, Smooth","42,169","$26,671 "
"Dogfish, Spiny","131,501","$19,796 "
Dolphinfish,"26,314","$111,702 "
"Drum, Black","131,761","$193,641 "
"Drum, Red","200,825","$576,463 "
"Eel, American","5,505","$15,139 "
"Flounder, Southern","485,024","$1,446,558 "
"Flounder, Summer","2,081,420","$5,775,613 "
"Flounders, Other",<100,<$100
Garfish,"8,249","$2,062 "
"Grouper, Gag","69,287","$449,206 "
"Grouper, Red","5,566","$33,136 "
"Grouper, Scamp","13,736","$85,543 "
"Grouper, Snowy","79,288","$386,412 "
"Groupers, Other","19,068","$98,862 "
Grunts,"25,051","$19,341 "
Hakes,"2,354","$1,246 "
Harvestfish (Starbutters),"106,728","$190,608 "
Hogfish (Hog Snapper),"13,147","$59,431 "
"Jacks (Crevalle, Rainbowrunner, Bluerunner)","9,750","$9,172 "
"Mackerel, Atlantic (Boston)",291,$142 
"Mackerel, King","430,868","$1,270,228 "
"Mackerel, Spanish","1,155,289","$1,846,682 "
"Menhaden,Atlantic","430,623","$116,424 "
"Mullet, Sea (Kingfishes)","808,049","$1,245,082 "
"Mullet, Striped","2,140,620","$1,336,140 "
Octopus,105,$263 
Oysters (Bushels),"232,013",.
Oysters (Meats),"1,227,347","$6,904,502 "
"Perch, White","203,239","$246,168 "
"Perch, Yellow","7,207","$11,375 "
Pigfish,"15,992","$11,129 "
Pinfish,153,$58 
Pompano,"16,742","$52,526 "
Porgies,"28,325","$71,666 "
Pufferfish,882,$394 
"Scallop,Sea (Meats)","22,980","$373,867 "
Scup,"54,255","$24,287 "
Sea Basses,"253,867","$827,269 "
"Seatrout, Spotted","695,795","$1,757,806 "
"Shad, American","58,884","$73,446 "
"Shad, Gizzard","229,267","$17,359 "
"Shad, Hickory","95,372","$27,476 "
Sharks,"593,643","$279,415 "
Sheepshead,"85,452","$137,251 "
Shrimp (Heads On),"9,152,499","$24,691,993 "
Skates,"<50,000","<$10,000"
Skippers,"11,675","$5,743 "
"Snapper, Red","15,750","$87,603 "
"Snapper, Vermilion (Beeliner)","176,193","$712,412 "
"Snappers, Other","32,226","$127,360 "
Spadefish,"27,489","$21,731 "
Spot,"527,464","$785,721 "
Squid,"34,299","$30,710 "
Stone Crabs,"9,637","$46,330 "
Striped Bass,"27,930","$72,627 "
Swordfish,"265,391","$1,038,998 "
"Tilefish, Blueline","99,922","$381,830 "
"Tilefish, Other","19,347","$82,449 "
Triggerfish,"67,353","$212,691 "
"Tuna, Bigeye","596,566","$2,765,667 "
"Tuna, Bluefin","294,646","$1,141,356 "
"Tuna, Yellowfin","564,095","$1,512,122 "
"Tunas, Other","31,294","$27,779 "
"Tunny, Little (False Albacore)","105,306","$106,813 "
Unclassified Fish For Industrial/Bait,"43,643","$7,128 "
Unclassified Fish for Food,"83,119","$208,482 "
Unclassified Shellfish,"86,814","$279,508 "
Wahoo,"7,343","$27,599 "
Weakfish (Grey Trout),"59,534","$83,089 "
Whelks/Conchs (Meats),"50,443","$189,149 "
,,
