FISH,FINALWEIGHT,FINALVALUE
Amberjacks,"183,009","$233,713 "
Anglerfish (Monkfish Including Monklivers),"13,225","$9,558 "
"Blue Crabs, Hard","9,088,342","$13,475,981 "
"Blue Crabs, Peeler","289,163","$956,810 "
"Blue Crabs, Soft","131,341","$1,210,514 "
Bluefish,"872,042","$513,426 "
Bonito,"6,576","$12,544 "
Butterfish,"58,905","$25,391 "
Carp,"5,652","$1,036 "
Catfishes,"2,477,604","$835,367 "
"Clams, Hard (Meats)","83,801","$1,148,220 "
"Clams, Hard (Numbers)","4,425,570",.
Cobia,"32,686","$87,233 "
"Croaker,Atlantic","357,318","$454,451 "
"Cutlassfish,Atlantic","1,039,489","$1,839,622 "
"Dogfish, Smooth","27,686","$17,792 "
"Dogfish, Spiny","70,392","$10,494 "
Dolphinfish,"28,379","$121,005 "
"Drum, Black","144,373","$225,114 "
"Drum, Red","175,090","$531,185 "
"Eel, American","3,602","$5,403 "
"Flounder, Southern","364,236","$934,187 "
"Flounder, Summer","2,190,368","$4,973,013 "
"Flounders, Other",<200,<$100
Garfish,"8,378","$1,676 "
"Grouper, Gag","65,175","$481,405 "
"Grouper, Red","3,573","$24,417 "
"Grouper, Scamp","10,168","$71,437 "
"Grouper, Snowy","61,061","$317,408 "
"Groupers, Other","13,137","$75,884 "
Grunts,"19,555","$26,014 "
Hakes,"2,126","$1,568 "
Harvestfish (Starbutters),"92,779","$187,676 "
Hogfish (Hog Snapper),"11,987","$60,745 "
"Jacks (Crevalle, Rainbowrunner, Bluerunner)","7,962","$10,043 "
"Mackerel, Atlantic (Boston)",191,$84 
"Mackerel, King","409,941","$1,414,168 "
"Mackerel, Spanish","926,026","$1,584,303 "
"Menhaden,Atlantic","539,494","$165,594 "
"Mullet, Sea (Kingfishes)","838,753","$1,472,567 "
"Mullet, Striped","2,720,344","$2,119,157 "
Octopus,355,"$1,080 "
Oysters (Bushels),"216,051",.
Oysters (Meats),"1,142,911","$6,685,193 "
"Perch, White","396,316","$539,769 "
"Perch, Yellow","10,642","$16,469 "
Pigfish,"13,084","$9,039 "
Pinfish,88,$16 
Pompano,"13,256","$49,010 "
Porgies,"23,342","$57,784 "
Pufferfish,"2,106",$878 
"Scallop,Bay (Meats)",<100,<$500
"Scallop,Sea (Meats)","80,200","$934,063 "
Scup,"18,567","$11,756 "
Sea Basses,"172,027","$590,441 "
"Seatrout, Spotted","603,172","$1,712,629 "
"Shad, American","9,443","$12,211 "
"Shad, Gizzard","152,028","$15,203 "
"Shad, Hickory","92,198","$23,136 "
Sharks,"533,886","$248,489 "
Sheepshead,"69,273","$129,260 "
Shrimp (Heads On),"4,780,857","$10,084,498 "
Skates,"6,016","$1,451 "
Skippers,"10,191","$4,366 "
"Snapper, Red","14,736","$95,660 "
"Snapper, Vermilion (Beeliner)","183,898","$840,934 "
"Snappers, Other","47,645","$198,036 "
Spadefish,"21,494","$20,794 "
Spot,"543,098","$824,598 "
Squid,"18,195","$16,379 "
Stone Crabs,"7,119","$33,893 "
Striped Bass,"24,026","$52,966 "
Swordfish,"322,781","$1,286,228 "
"Tilefish, Blueline","99,354","$387,773 "
"Tilefish, Other","7,059","$29,717 "
Triggerfish,"88,167","$300,090 "
"Tuna, Bigeye","783,132","$3,933,709 "
"Tuna, Bluefin","283,574","$1,445,743 "
"Tuna, Yellowfin","664,162","$1,596,144 "
"Tunas, Other","20,622","$27,576 "
"Tunny, Little (False Albacore)","147,065","$165,173 "
Unclassified Fish For Industrial/Bait,"71,435","$15,222 "
Unclassified Fish for Food,"54,051","$228,793 "
Unclassified Shellfish,"6,019","$92,269 "
Wahoo,"7,924","$34,748 "
Weakfish (Grey Trout),"62,196","$86,210 "
Whelks/Conchs (Meats),"75,508","$346,668 "
,,
