FISH,FINALWEIGHT,FINALVALUE
Anglerfish (Monkfish Including Monklivers),"1,607",$81 
"Blue Crabs, Hard","12,220,812","$2,148,346 "
"Blue Crabs, Soft and Peeler","15,974","$17,000 "
Bluefish,"2,331,446","$218,663 "
Butterfish,"47,410","$7,847 "
Carp,"28,161",$427 
Catfishes,"2,073,054","$424,091 "
"Clams, Hard (Meats)","739,066","$1,068,880 "
Cobia,973,$53 
"Croaker,Atlantic","18,994,577","$2,076,370 "
"Drum, Black","12,969","$1,011 "
"Drum, Red","19,637","$2,673 "
"Eel, American","258,296","$112,227 "
"Flounder, Southern","704,212","$318,829 "
"Flounder, Summer","10,432,882","$4,679,311 "
"Groupers, Other","29,378","$15,753 "
Grunts,838,$212 
Harvestfish (Starbutters),"47,919","$8,232 "
"Herring, River (Alewife and Blueback)","8,523,813","$421,603 "
"Mackerel, Atlantic (Boston)","266,179","$26,251 "
"Mackerel, King","244,771","$125,978 "
"Mackerel, Spanish","46,223","$7,072 "
"Menhaden,Atlantic","158,119,330","$4,369,012 "
"Mullet, Sea (Kingfishes)","204,603","$33,926 "
"Mullet, Striped","1,834,935","$193,291 "
Octopus,600,$338 
Oysters (Meats),"365,714","$353,581 "
"Perch, White","268,489","$38,106 "
"Perch, Yellow","36,819","$5,579 "
Pigfish,"17,291","$1,770 "
Pompano,"4,639","$3,170 "
Porgies,"136,392","$48,677 "
Pufferfish,"2,938",$966 
"Scallop,Bay (Meats)","412,476","$711,311 "
"Scallop,Sea (Meats)","501,664","$751,902 "
Sea Basses,"1,464,668","$629,009 "
"Seatrout, Spotted","323,408","$106,695 "
"Shad, American","121,022","$54,764 "
"Shad, Gizzard","219,789","$2,200 "
"Shad, Hickory","22,109","$1,755 "
Sheepshead,"11,908","$1,189 "
Shrimp (Heads On),"5,600,329","$7,239,080 "
"Snappers, Other","27,465","$33,171 "
Spadefish,"3,036",$158 
Spot,"3,805,126","$468,675 "
Squid,"20,943","$3,237 "
Striped Bass,"571,651","$405,263 "
Unclassified Fish For Industrial/Bait,"4,891,000","$180,164 "
Unclassified Fish for Food,"43,253","$6,340 "
Unclassified Shellfish,"7,581","$1,532 "
Weakfish (Grey Trout),"8,671,210","$1,048,664 "
